브랜드,지점,유형,규격,치수(m),바닥면적(평),부피(㎥),월요금_1개월(원),월요금_장기(원),보증금(원),㎥당월단가(원),비고,출처
알파박스,청주서원점,야외 컨테이너,A10,1.1x1.1x2.3,0.37,2.78,77000,,100000,27668,VAT포함/1개월단위,https://alphabox.co.kr/store_14
알파박스,청주서원점,야외 컨테이너,A05,1.1x2.3x2.3,0.80,5.82,120000,,150000,20622,VAT포함,https://alphabox.co.kr/store_14
알파박스,청주서원점,야외 컨테이너,A03,1.9x2.3x2.3,1.30,10.05,165000,,200000,16416,VAT포함,https://alphabox.co.kr/store_14
알파박스,청주서원점,야외 컨테이너,A02,3.0x2.3x2.3,2.00,15.87,220000,,200000,13862,VAT포함,https://alphabox.co.kr/store_14
알파박스,청주흥덕점,야외 컨테이너,A05,1.1x2.3x2.3,0.80,5.82,120000,,150000,20622,VAT포함,https://alphabox.co.kr/store_9
알파박스,청주흥덕점,야외 컨테이너,A03,1.9x2.3x2.3,1.30,10.05,165000,,200000,16416,VAT포함,https://alphabox.co.kr/store_9
알파박스,청주흥덕점,야외 컨테이너,A02,3.0x2.3x2.3,2.00,15.87,220000,,200000,13862,VAT포함,https://alphabox.co.kr/store_9
알파박스,청주흥덕점,야외 컨테이너,A01,6.0x2.3x2.3,4.10,31.74,330000,,300000,10397,VAT포함,https://alphabox.co.kr/store_9
옐로박스,청주(직지대로),실내 무인,S,1.0x1.0x1.0,0.30,1.00,57000,36000,100000,57000,12개월 일시불 432000원,https://m.blog.naver.com/yellobox-official/224359703764
옐로박스,청주(직지대로),실내 무인,M,1.5x1.0x1.0,0.45,1.50,59000,36500,100000,39333,12개월 일시불 438000원,https://m.blog.naver.com/yellobox-official/224359703764
옐로박스,청주(직지대로),실내 무인,L,1.5x1.0x2.0,0.45,3.00,90000,60000,100000,30000,12개월 일시불 720000원,https://m.blog.naver.com/yellobox-official/224359703764
아이엠박스,청주오창점,실내 무인,M,미확인,미확인,미확인,160000,90000,미확인,미산출,할인가는 오창 주민 특가,https://www.iambox.co.kr/sub/selfStorage/storage_view.php?office_idx=121
아이엠박스,청주오창점,실내 무인,M+,미확인,미확인,미확인,200000,100000,미확인,미산출,40% 할인 프로모션,https://www.iambox.co.kr/sub/selfStorage/storage_view.php?office_idx=121
아이엠박스,청주오창점,실내 무인,L,미확인,미확인,미확인,240000,124000,미확인,미산출,40% 할인 프로모션,https://www.iambox.co.kr/sub/selfStorage/storage_view.php?office_idx=121
아이엠박스,청주오창점,실내 무인,XL,미확인,미확인,미확인,280000,148000,미확인,미산출,40% 할인 프로모션,https://www.iambox.co.kr/sub/selfStorage/storage_view.php?office_idx=121
아이엠박스,청주오창점,실내 무인,OS,미확인,미확인,미확인,410000,226000,미확인,미산출,40% 할인 프로모션,https://www.iambox.co.kr/sub/selfStorage/storage_view.php?office_idx=121
