번호,업체명,구,주소,유형,연락처,요금공개,수집경로
1,알파박스 청주서원점,서원구,충청북도 청주시 서원구 남이면 서부로 958,야외 컨테이너,010-8410-3890,공개,공식홈페이지 store_14
2,알파박스 청주흥덕점,흥덕구,충청북도 청주시 흥덕구 강내면 탑연리 153-1,야외 컨테이너,0507-1488-0255,공개,공식홈페이지 store_9
3,아이엠박스 청주오창점,청원구,충청북도 청주시 청원구 오창읍 중심상업로 17 501호,실내 무인,1877-7912,공개,공식홈페이지 office_idx=121
4,옐로박스,흥덕구,충청북도 청주시 흥덕구 직지대로 530 1층 114호,실내 무인+비상주사무실,네이버 플레이스,공개,공식블로그 yellobox-official
5,아이엠박스 충북대점,서원구,충청북도 청주시 서원구 모충로 3 4층,실내 무인,1877-7912,미공개,네이버 플레이스
6,미니창고 다락 청주복대점,흥덕구,충청북도 청주시 흥덕구 복대로 179 메디포스빌딩 502호,실내 무인,1661-0180,미공개(앱전용),네이버 플레이스
7,미니창고다락 청주향정동점,흥덕구,충청북도 청주시 흥덕구 신성로 6-16 4층,실내 무인,1661-0180,미공개(앱전용),네이버 플레이스
8,소포박스 청주흥덕점,흥덕구,충청북도 청주시 흥덕구 공단로 134 1층 112호,실내 공유창고,0507-1498-3417,미공개(온라인견적),네이버 플레이스
9,캐리박스 공유창고 청주오송점,흥덕구,충청북도 청주시 흥덕구 오송읍 오송가락로 400 1층,실외 컨테이너,1566-9700,미공개(비대면계약),네이버 플레이스
10,박스호텔공유창고,흥덕구,충청북도 청주시 흥덕구 서부로 911-2,실내 드라이브인(층고3m),0507-1468-0844,미공개,네이버 플레이스
11,오송스페이스M 공유창고,흥덕구,충청북도 청주시 흥덕구 오송읍 가로수로 180-5 1층,실내 복도형,0507-1432-0960,미공개,네이버 플레이스
12,상승지보관창고,흥덕구,충청북도 청주시 흥덕구 서부로 837-88,20피트 해운컨테이너,0507-1340-2852,미공개,네이버 플레이스
13,우리컨테이너,서원구,충청북도 청주시 서원구 남이면 석판2길 10,컨테이너 보관창고,0507-1404-3239,미공개,네이버 플레이스
14,중부보관창고,청원구,충청북도 청주시 청원구 오창읍 오산가좌로 650-29,일반 보관창고,043-211-2204,미공개,네이버 플레이스
15,청주보관창고,청원구,충청북도 청주시 청원구 팔결로 117-2,일반 보관창고,네이버 플레이스,미공개,네이버 플레이스
16,짐캐리 청주공항점,청원구,충청북도 청주시 청원구 내수읍 오창대로 980 1층,짐보관,0507-1463-8215,미공개,네이버 플레이스
